occode,occ_name
48,"MEDICAL ASSISTANTS"
49,"SUBORDINATE MEDICAL SERVICE (UNQUALIFIED) AND MEDICAL SERVICES - GENERAL"
50,"HOSPITAL WORKERS GENERAL - DEFAULT"
51,"HOSPITAL MEDICAL SERVICE"
52,"SCHOOLMASTERS AND TEACHERS (DEFAULT)"
53,"UNIVERSITY TEACHERS"
54,"SCHOOL SERVICE (PUPIL TEACHERS)"
55,"OTHERS CONNECTED WITH EDUCATION - SCHOOL SERVICE GENERAL, ATTENDANTS, CLERKS, ETC"
56,"AUTHORS EDITORS JOURNALISTS AND CREATIVE ADVERTISING WORKERS"
57,"REPORTERS AND SHORTHAND WRITERS"
58,"OTHERS IN WRITING"
59,"ENGAGED IN SCIENTIFIC PURSUITS (INC INVENTORS AND SCIENTIFIC QUALIFIERS)"
60,"OTHERS SCIENTIFIC"
61,"OTHERS CONNECTED WITH LITERATURE, ETC - LITERARY & SCIENTIFIC INSTITUTION SERVICE"
62,"OTHERS CONNECTED WITH LITERATURE, ETC - POLITICAL & ELECTION AGENTS"
63,"LIBRARIANS (LITERARY, SCIENTIFIC SOCIETY)"
64,"MINING ENGINEERS"
65,"CIVIL ENGINEERS"
66,"LAND, HOUSE, SHIP--SURVEYOR"
67,"MINING ENGINEERS ASSISTANT"
68,"CIVIL ENGINEERS ASSISTANTS"
69,"SURVEYORS ASSISTANT"
70,"PAINTERS (ARTISTS)"
71,"SCULPTORS (ARTISTS)"
72,"ARCHITECTS"
73,"ENGRAVERS (ARTISTS) AND LITHOGRAPHIC ARTISTS"
74,"MAP CHART GEOGRAPHICAL ENGRAVERS"
75,"PHOTOGRAPHERS"
76,"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)"
77,"ACTORS"
78,"ARCHITECTS ASSISTANTS"
79,"ART, MUSIC, THEATRE, CINEMA – SERVICE ETC"
80,"PERFORMERS SHOWMEN EXHIBITION SERVICE"
81,"BILLIARDS CRICKET AND OTHER GAMES SERVICE"
82,"DOMESTIC INDOOR SERVANTS IN HOTELS, LODGING HOUSES AND EATING HOUSES"
83,"OTHER DOMESTIC INDOOR SERVANTS -- GOVERNESSES"
84,"OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED"
85,"DOMESTIC--COACHMAN"
86,"DOMESTIC--MOTOR CAR DRIVER, MOTOR CAR ATTENDANT"
87,"DOMESTIC GARDENER"
88,"GAMEKEEPER"
89,"ARMY COLLEGE, CLUB--SERVICE"
90,"OTHER COLLEGE, CLUB--SERVICE"
91,"PRISON OFFICERS (REFORMATORY SCHOOL)"
92,"PRISON SERVICE MESSENGERS ETC (REFORMATORY SCHOOL)"
93,"HOSPITAL, INSTITUTION (NOT POOR LAW), AND BENEVOLENT SOCIETY--SERVICE (NOT SICK NURSES, MEDICAL MEN, OR SCHOOLMASTERS)"
94,"PARK, LODGE, GATE, ETC.--KEEPER (NOT GOVERNMENT)"
95,"CHURCH CHAPEL CEMETERY CARETAKERS KEEPERS"
96,"HOSPITAL SERVANTS' REGISTRY OFFICE KEEPERS"
97,"CARETAKER, OFFICE KEEPERS (NOT GOVERNMENT) - SCHOOL CLEANERS,CARETAKERS"
98,"COOKS (NOT DOMESTIC)"
99,"COOKS (COLLEGE: NON-RESIDENT)"
100,"COOKS (BOARDING LODGING HOUSE: NON-RESIDENT)"
101,"COOKS (DOMESTIC: NON-RESIDENT)"
102,"DAY GIRLS, DAY SERVANTS (OTHER INDOOR)"
103,"DAY GIRLS, DAY SERVANTS (HOTELS LODGING EATING HOUSES)"
104,"CHARWOMEN"
105,"LAUNDRY WORKER: WASHER, IRONER, MANGLER, ETC. (NOT DOMESTIC)"
106,"BATH AND WASH-HOUSE SERVICE"
107,"GOVERNESSES (DOMESTIC)(NON-RESIDENT)"
108,"SERVANTS - UNDEFINED (NON-RESIDENT)"
109,"OTHERS IN SERVICE"
110,"WINDOW CLEANERS"
111,"MERCHANT -- COMMODITY UNDEFINED"
112,"BROKERS, FACTORS, COMMERCIAL AGENTS (NOT - MINE, QUARRY, INSURANCE)"
113,"SALESMEN AND BUYERS (NOT OTHERWISE DESCRIBED)"
114,"COMMERCIAL TRAVELLERS AND MANUFACTURERS' AGENTS"
115,"ACCOUNTANTS"
116,"AUCTIONEERS APPRAISERS VALUERS HOUSE AGENTS"
117,"SURVEYORS (HOUSE AGENTS)"
118,"OFFICERS OF COMMERCIAL AND OTHERS COMPANIES"
119,"COMMERCIAL OR BUSINESS CLERKS"
120,"BANKERS"
121,"BANK SERVICE, BANK OFFICIALS AND CLERKS"
122,"BILL BROKERS, AGENTS AND DISCOUNTERS"
123,"INSURANCE OFFICIALS CLERKS"
124,"INSURANCE AGENTS"
125,"RAILWAY OFFICIAL - INSPECTORS, SUPERVISORS, CLERK"
126,"RAILWAY TICKET-EXAMINER, COLLECTOR, CHECKER"
127,"RAILWAY ENGINE--DRIVER STOKER CLEANER"
128,"RAILWAY GUARD"
129,"SIGNALMAN"
130,"POINTSMAN, LEVEL CROSSING MAN, GATEKEEPERS"
131,"PLATELAYER, GANGER, PACKER"
132,"RAILWAY LABOURER (NOT RAILWAY CONTRACTOR'S LABOURER)"
133,"RAILWAY PORTER"
134,"OTHER RAILWAY SERVANTS"
135,"LIVERY STABLE KEEPERS, CAB AND BUS OWNERS"
136,"HORSE PROPRIETOR, BREEDER, DEALER"
137,"MOTOR GARAGE ---PROPRIETOR, WORKER"
138,"COACHMAN (NOT DOMESTIC): CABMAN"
139,"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)"
140,"MOTOR CAR DRIVER (NOT DOMESTIC); MOTOR CAB DRIVER"
141,"CARMEN CARRIERS CARTERS AND DRAYMEN"
142,"HAULIERS (MINE)"
143,"WATER CARRIERS"
144,"MOTOR VAN ETC. DRIVERS"
145,"VAN, ETC.---GUARD, BOY"
146,"OTHERS CONNECTED WITH CARRIAGE/CARTAGE (NOT MINE)"
147,"OTHERS CONNECTED WITH CARRIAGE/CARTAGE (MINE)"
148,"OMNIBUS HORSE DRIVERS (DEFAULT)"
149,"OMNIBUS MOTOR DRIVERS"
150,"OMNIBUS CONDUCTORS"
151,"OMNIBUS SERVICE --OTHERS"
152,"TRAMWAY SERVICE DRIVERS"
153,"TRAMWAY SERVICE CONDUCTORS"
154,"TRAMWAY SERVICE ---OTHERS"
155,"OTHERS ON  ROADS -- TOLL COLLECTORS"
156,"OTHERS ON  ROADS -- WHEELCHAIR PROPRIETORS, ATTENDANTS"
157,"MERCHANT SERVICE; SEAMAN-NAVIGATING DEPARTMENT"
158,"MERCHANT SERVICE; SEAMAN--ENGINEERING DEPARTMENT"
159,"MERCHANT SERVICE: SEAMAN--COOKS, STEWARDS, AND OTHERS (SUBSIDIARY SERVICE)"
160,"BOATMEN ON SEAS (SEAMEN GENERAL)"
161,"PILOTS OF SHIPS"
162,"BARGEMEN LIGHTERMEN WATERMEN (& CANAL WORKERS GENERALLY)"
163,"CANAL AND INLAND NAVIGATION SERVICE (ON SHORE)"
164,"SHIP AND BOAT OWNERS"
165,"STEAM NAVIGATION SERVICE"
166,"STEVEDORES, WHARF AND DOCK LABOURERS"
167,"HARBOUR, DOCK, WHARF, LIGHTHOUSE--OFFICIALS AND SERVANTS"
168,"WAREHOUSEMEN (NOT MANCHESTER GOODS)"
169,"METERS, WEIGHERS ENGAGED IN STORAGE"
170,"COALHEAVER; COAL--PORTER, LABOURER"
171,"MESSENGER, PORTER, WATCHMAN (NOT RAILWAY OR GOVERNMENT)"
172,"TELEGRAPH, TELEPHONE--SERVICE (NOT GOVERNMENT)"
173,"FARMER, GRAZIER"
174,"CROFTERS"
175,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM"
176,"CROFTERS--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM"
177,"FARM - BAILIFFS STEWARDS FOREMEN"
178,"SHEPHERD"
179,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF CATTLE"
180,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF HORSES"
181,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED"
182,"WOODMAN"
183,"NURSERYMAN, SEEDSMAN, FLORIST"
184,"MARKET GARDENER (INCLUDING LABOURER)"
185,"OTHER GARDENER (NOT DOMESTIC)"
186,"AGRICULTURAL MACHINE--PROPRIETOR, ATTENDANT"
187,"OTHERS IN AGRICULTURE"
188,"LAND DRAINAGE SERVICE"
189,"RABBIT CATCHERS TRAPPERS DESTROYERS (ON FARM)"
190,"OTHERS ENGAGED ABOUT ANIMALS (NON-AGRICULTURE)"
191,"VERMIN DESTROYERS (AGRICULTURE)"
192,"THATCHERS (AGRICULTURE)"
193,"OTHERS IN COAL COKE PEAT AND CHARCOAL (INC. AGRICULTURAL: PEAT/TURF WORKERS)"
194,"FISHERMEN"
195,"FISHERMEN CROFTER"
196,"COAL MINERS - HEWERS, WORKERS AT THE COAL FACE"
197,"SHALE MINER"
198,"COAL MINERS - OTHERS BELOW GROUND & UNDEFINED"
199,"RAILWAY LABOURERS NAVVIES (COAL MINE)"
200,"COAL MINERS ABOVE GROUND"
201,"MINE SERVICE ENGINEERS"
202,"MINE - OWNER, AGENT, MANAGER"
203,"MINE SERVICE OTHERS (COAL)"
204,"COKE BURNERS"
205,"FACTORY LABOURERS (UNDEFINED) COKE AND GAS"
206,"PATENT FUEL MANUFACTURE"
207,"IRON--MINER, QUARRIER"
208,"COPPER MINER"
209,"TIN MINER"
210,"LEAD MINER"
211,"MINERS IN OTHER OR UNDEFINED MINERALS"
212,"GOLD MINER"
213,"SILVER MINER"
214,"METALLIFEROUS MINE--OWNER, GENERAL MANAGER, CAPTAIN"
215,"METALLIFEROUS MINE--OTHER MINE SERVICE"
216,"STONE QUARRY MANAGERS AGENTS"
217,"SLATE QUARRY MANAGERS AGENTS"
218,"SAND FLINT CLAY GRAVEL CHALK MANAGERS AGENTS"
219,"OTHER QUARRIES MANAGERS AGENTS"
220,"STONE QUARRY MINE OWNERS"
221,"SLATE QUARRY MINE OWNERS"
222,"SAND FLINT CLAY GRAVEL QUARRY MINE OWNERS"
223,"FOSSIL COPROLITE QUARRY MINE OWNERS"
224,"STONE QUARRIERS"
225,"LIMESTONE QUARRIER"
226,"STONE CUTTERS DRESSERS"
227,"SLATE QUARRIERS"
228,"SLATE WORKERS CUTTERS DRESSERS"
229,"LIME BURNERS"
230,"SAND FLINT CLAY GRAVEL CHALK WORKERS"
231,"FOSSIL COPROLITE DIGGERS"
232,"OTHER WORKERS IN QUARRIES"
233,"EMERY, SAND PAPER MAKER"
234,"ASBESTOS MAKER"
235,"COAL MERCHANTS AND DEALERS"
236,"COKE DEALERS"
237,"STONE DEALERS"
238,"SLATE DEALERS"
239,"SAND FLINT CLAY GRAVEL DEALERS"
240,"FOSSIL COPROLITE DEALERS"
241,"PIG IRON MANUFACTURE (BLAST FURNACE)"
242,"PUDDLING FURNACES; IRON AND STEEL ROLLING MILLS"
243,"TUBE MANUFACTURE"
244,"STEEL--MANUFACTURE, SMELTING, FOUNDING"
245,"GALVANIZED SHEET MANUFACTURE"
246,"TINPLATE  MANUFACTURE"
247,"COPPER MANUFACTURE"
248,"LEAD MANUFACTURE"
249,"ZINC MANUFACTURE"
250,"BRASS, BRONZE-MANUFACTURE"
251,"GOLD SILVER SMELTERS ETC (EXTRACTION)"
252,"MANUFACTURE OF OTHER OR UNSPECIFIED METALS"
253,"PATTERNMAKERS (ENGINE AND MACHINE MAKING (UNDEFINED - NOT TEXTILE)"
254,"PATTERNMAKERS (SPINNING WEAVING MACHINERY MAKING)"
255,"PATTERNMAKERS (AGRICULTURAL MACHINE AND IMPLEMENT MAKING)"
256,"PATTERNMAKERS (DOMESTIC MACHINERY MAKING)"
257,"PATTERNMAKERS (UNDEFINED)"
258,"MILLWRIGHT"
259,"IRONFOUNDER -- MOULDERS, CORE MAKERS, FETTER, CUPOLA, OVERN-MAN, FOUNDRY LABOURER, OTHER & UNDEFINED"
260,"BRASS FOUNDERS"
261,"FARRIERS"
262,"BLACKSMITHS"
263,"FITTERS, TURNERS (ENGINE AND MACHINE)"
264,"COLLIERY FITTERS"
265,"RAILWAY - SIGNAL SWITCH TURNTABLE FITTERS"
266,"FITTERS, TURNERS (ENGINE AND MACHINE) LABOURERS"
267,"BRASS FINISHERS"
268,"COPPERSMITHS (VARIOUS)"
269,"METAL MACHINISTS (ENGINE AND MACHINE MAKING)"
270,"METAL MACHINISTS (SPINNING WEAVING MACHINERY MAKING)"
271,"METAL MACHINISTS (AGRICULTURAL MACHINE AND IMPLEMENT MAKING)"
272,"METAL MACHINISTS (DOMESTIC MACHINERY MAKING)"
273,"UNDEFINED ENGINE AND MACHINE MAKING (NOT TEXTILE)"
274,"LABOURERS (UNDEFINED) IN ENGINEERING WORKS"
275,"BOILER MAKERS"
276,"OTHER WORKERS (SPINNING WEAVING MACHINERY MAKING)"
277,"OTHER WORKERS IN TEXTILE MACHINERY FITTINGS"
278,"ENGINE AND MACHINE MAKERS (UNDEFINED - NOT TEXTILE)"
279,"DOMESTIC MACHINERY MAKERS"
280,"AGRICULTURAL MACHINE AND IMPLEMENT MAKERS"
281,"RAILWAY - SIGNAL SWITCH TURNTABLE MAKERS"
282,"RIVETERS RIGGERS METAL PLATE WORKERS (NOT SHIPS, TEXTILES, BOILERS)"
283,"TECHNICIANS (UNSPECIFIED)"
284,"ELECTRICAL CABLE MAKERS"
285,"ELECTRICAL LAMP MAKERS"
286,"OTHER ELECTRICAL APPARATUS MAKERS"
287,"ELECTRICIANS (UNDEFINED)"
288,"PRINTING REGLET MAKERS"
289,"TOOLMAKERS (AGRICULTURAL MACHINE AND IMPLEMENT MAKING)"
290,"TOOLMAKERS"
291,"DOMESTIC IMPLEMENT MAKERS - TOOLMAKERS"
292,"FILE MAKERS"
293,"SAW MAKERS"
294,"CUTLERY AND SCISSOR MAKERS"
295,"NEEDLE MAKERS"
296,"PIN MAKERS"
297,"STEEL PEN MAKERS"
298,"ROLLER ENGRAVERS BLOCK CUTTERS (FOR TEXTILE PRINTING)"
299,"TYPE FOUNDERS"
300,"DIE, SEAL, COIN, MEDAL – MAKER"
301,"GUNSMITHS"
302,"ORDNANCE MANUFACTURE"
303,"ARMS AND ORDNANCE - OTHERS"
304,"SWORD AND BAYONET MAKERS"
305,"NAIL MANUFACTURE"
306,"BOLT NUT RIVET AND SCREW MANUFACTURE"
307,"ANCHOR & CHAIN MANUFACTURE"
308,"GAS STOVE MAKERS"
309,"STOVE GRATE RANGE FIRE-IRON MAKERS"
310,"BRASS BEDSTEAD MAKERS"
311,"IRON BEDSTEAD MAKERS"
312,"WIRE/SPRING MATTRESS MAKERS"
313,"WIRE MAKERS WORKERS WEAVERS"
314,"WIRE FENCER"
315,"LOCK, KEY MAKERS"
316,"GAS FITTINGS MAKERS"
317,"LAMP, LANTERN, CANDLESTICK--MAKER"
318,"SILVER-SMITHS, BUFFERS, BURNISHERS, FINISHERS"
319,"PEWTER WHITE METAL PLATED WARE MANUFACTURE"
320,"METAL REFINERS WORKERS"
321,"TINPLATE GOODS MANUFACTURE"
322,"COPPER WORKERS"
323,"LEADEN GOODS MANUFACTURE (VARIOUS)"
324,"ZINC GOODS WORKERS"
325,"BRASS BRONZE IMPLEMENT MAKERS"
326,"BRASS, BRONZE GOODS WORKERS"
327,"BRASS CLASP BUCKLE HINGE MAKERS"
328,"IRON DOMESTIC IMPLEMENT MAKERS"
329,"IRON CLASP BUCKLE HINGE MAKERS"
330,"IRON FENCE AND GATE MAKER"
331,"OTHER IRON GOODS MAKERS"
332,"FIRE PROOF SAFE MAKER"
333,"SPRING MAKER"
334,"IRON WORKERS (UNDEFINED)"
335,"OTHER IMPLEMENT MAKERS"
336,"TIN WORKERS"
337,"METAL BURNISHERS (UNDEFINED)"
338,"FANCY CHAIN RING GILT TOY MAKERS"
339,"OTHER METAL WORKERS"
340,"MIXED OR UNSPECIFIED METALS - TUBE MANUFACTURE"
341,"BATH MAKER"
342,"CLASP BUCKLE HINGE MAKERS - NOT BRASS OR IRON"
343,"WHITESMITHS"
344,"SHACKLE MAKERS"
345,"SHIP BOAT PLATERS RIVETTERS"
346,"METAL SHIPS - WORKERS IN IRON"
347,"FITTERS (SHIPS)"
348,"SHIPWRIGHTS - WOOD SHIPS"
349,"SHIPWRIGHTS - METAL SHIPS"
350,"WOOD SHIPS - WORKER IN WOOD"
351,"MAST, YARD, OAR, BLOCK MAKER"
352,"SHIP BOAT PAINTERS (WOOD)"
353,"SHIP BOAT PAINTERS (IRON)"
354,"SHIPYARD LABOURERS (UNDEFINED)"
355,"OTHERS IN SHIP/BOAT BUILDING - WOOD (DEFAULT)"
356,"OTHERS IN SHIP/BOAT BUILDING - METAL"
357,"RIGGERS (SHIPS)"
358,"SHIP CHANDLER"
359,"SAILMAKERS"
360,"RAILWAY--COACH, WAGON MAKER"
361,"TRAM CAR MAKER"
362,"BICYCLE MAKERS, BICYCLE REPAIRERS"
363,"MOTOR CAR CHASSIS MAKER: MOTOR CAR MECHANIC"
364,"MOTOR CAR BODY MAKER"
365,"COACH, CARRIAGE--MAKER"
366,"WHEELWRIGHT"
367,"CARTWRIGHTS"
368,"PERAMBULATOR MAKER"
369,"IRONMONGER; HARDWARE--DEALER, MERCHANT"
370,"GENERAL HOUSEHOLD APPLIANCE DEALERS"
371,"DEALERS IN PRINTERS MATERIALS"
372,"DEALERS IN ELECTRICAL APPARATUS"
373,"OFFICE MACHINERY DEALERS"
374,"BICYCLE DEALERS"
375,"MOTOR CAR DEALERS"
376,"DEALERS IN COPPER"
377,"DEALERS IN TIN, TINPLATE"
378,"ZINC DEALERS"
379,"LEAD DEALERS"
380,"METAL DEALERS"
381,"OTHER DEALERS IN MACHINES, IMPLEMENTS ETC."
382,"GOLD AND SILVERSMITHS JEWELLERS (NOT DEALERS)"
383,"LAPIDARIES AND OTHER PRECIOUS MATERIAL WORKERS"
384,"GOLD AND SILVER BEATERS"
385,"OTHER WORKERS GOLD SILVER JEWELLERY"
386,"WATCH AND CLOCK MAKERS"
387,"PHILOSOPHICAL INSTRUMENT MAKERS (SCIENTIFIC AND OPTICAL)"
388,"PHOTOGRAPHIC APPARATUS MAKERS"
389,"WEIGHING AND MEASURING MACHINE MAKERS"
390,"TINMEN (METER MAKING)"
391,"DENTAL INSTRUMENT AND APPARATUS MAKERS"
392,"SURGICAL INSTRUMENT AND APPARATUS MAKERS"
393,"PIANO ORGAN MAKERS"
394,"OTHER MUSICAL INSTRUMENT MAKERS"
395,"TOY MAKERS"
396,"FISHING TACKLE MAKERS"
397,"APPARATUS FOR OTHER GAMES MAKERS"
398,"GOLD AND SILVERSMITHS JEWELLERS (DEALERS)"
399,"MUSICAL INSTRUMENT DEALERS"
400,"TOY DEALERS"
401,"FISHING TACKLE DEALERS"
402,"APPARATUS FOR OTHER GAMES DEALERS"
403,"PHOTOGRAPHIC APPARATUS, PHILOSOPHICAL INSTRUMENT (SCIENTIFIC AND OPTICAL) - DEALERS"
404,"WEIGHING AND MEASURING MACHINE DEALERS"
405,"BUILDERS"
406,"THATCHERS (NOT AGRICULTURE)"
407,"BUILDER'S LABOURER"
408,"BUILDERS' EXCAVATORS"
409,"CARPENTER, JOINER"
410,"CARPENTER'S, JOINER'S--LABOURER"
411,"STOVE SETTERS FURNACE OVEN LINERS"
412,"BRICKLAYER"
413,"BRICKLAYER'S LABOURER"
414,"MASON"
415,"MASON'S LABOURER"
416,"SLATERS & TILERS"
417,"PLASTERER"
418,"PLASTERER'S LABOURER"
419,"WHITEWASHERS"
420,"PAPERHANGERS"
421,"PAINTERS, DISTEMPERERS & DECORATORS"
422,"GLAZIERS LEAD WINDOW MAKERS"
423,"ARCHITECTURAL, MONUMENTAL--CARVER, SCULPTOR"
424,"MONUMENTAL MASON"
425,"PLUMBER, PIPE FITTER"
426,"GASFITTER"
427,"LOCKSMITH, BELLHANGER"
428,"CONTRACTORS: PUBLIC WORKS: SEWER DRAINAGE DOCK HARBOUR CANAL"
429,"RAILWAY CONTRACTORS"
430,"POND RESERVOIR MAKERS"
431,"SEA WALL GROYNE LABOURERS PILE DRIVERS"
432,"RAILWAY LABOURERS NAVVIES (CONTRACTORS LABOURERS) DEFAULT"
433,"WELL, MINE--SINKER, BORER"
434,"ROAD--CONTRACTOR, SURVEYOR, INSPECTOR"
435,"PAVIORS"
436,"ROAD LABOURERS"
437,"CABINET MAKERS"
438,"FURNITURE AND FITTINGS - OTHERS"
439,"FRENCH POLISHER"
440,"UPHOLSTERER"
441,"HOT WATER APPARATUS PIPE JOINTERS"
442,"HOUSE & SHOP FITTINGS MAKERS"
443,"REFRIGERATOR MAKER"
444,"UNDERTAKER; FUNERAL FURNITURE MAKER"
445,"WOOD CARVER"
446,"WOOD GILDER"
447,"WILLOW CANE AND RUSH WORKERS"
448,"CANE, RUSH, STRAW - OTHER WORKERS"
449,"WILLOW CANE AND RUSH DEALERS"
450,"DEALER IN WORKS OF ART"
451,"FURNITURE BROKERS DEALERS"
452,"HOUSE & SHOP FITTINGS DEALERS"
453,"SAWYER; WOOD CUTTING MACHINIST"
454,"LATH, WOODEN FENCE, HURDLE-MAKER"
455,"WOOD TURNER"
456,"WOODEN BOX, PACKING CASE--MAKER"
457,"COOPER; HOOP--MAKER, BENDER"
458,"CORK, BARK-- CUTTER, WORKER"
459,"TIMBER WOOD WORKERS"
460,"BESOM MAKER"
461,"OTHER WORKERS IN WOOD"
462,"TIMBER MERCHANTS WOOD DEALERS"
463,"CORK AND BARK DEALERS"
464,"BRICK, PLAIN TILE, TERRA-COTTA--MAKER"
465,"PLASTER, CEMENT--MANUFACTURE"
466,"EARTHENWARE FIGURE AND IMAGE MAKERS"
467,"EARTHENWARE, CHINA, PORCELAIN--MANUFACTURE"
468,"SHEET, PLATE--GLASS MANUFACTURE"
469,"GLASS BOTTLE MANUFACTURE"
470,"OTHER WORKERS IN GLASS MANUFACTURE"
471,"BRICK DEALERS"
472,"PLASTER AND CEMENT DEALERS"
473,"EARTHENWARE, CHINA, GLASS--DEALER"
474,"DYE AND PAINT MANUFACTURE"
475,"INK AND BLACKING MANUFACTURE"
476,"GUNPOWDER, GUNCOTTON, EXPLOSIVE SUBSTANCE--MANUFACTURE"
477,"CARTRIDGE, FIREWORKS, EXPLOSIVE ARTICLE--MANUFACTURE"
478,"LUCIFER MATCH MANUFACTURE"
479,"SALT MAKERS AND DEALERS"
480,"MANUFACTURING CHEMIST"
481,"ALKALI MANUFACTURE"
482,"CHEMISTS DRUGGISTS"
483,"DRYSALTERS"
484,"OIL MILLERS OIL CAKE MAKERS"
485,"MINERAL OIL WORKER"
486,"TALLOW CHANDLERS CANDLE AND GREASE MANUFACTURE"
487,"SOAP BOILERS AND MAKERS"
488,"MANURE MANUFACTURE BONE BOILERS"
489,"INDIA RUBBER AND GUTTA PERCHA MAKERS"
490,"WATERPROOF GOODS MAKERS"
491,"GLUE SIZE AND GELATINE MANUFACTURE"
492,"OTHER WORKERS IN CHEMICALS ETC"
493,"GUM MANUFACTURE"
494,"RESIN MANUFACTURE"
495,"SEALING WAX MAKER"
496,"VARNISH MAKER"
497,"OIL CAKE DEALERS"
498,"OIL AND COLOURMEN"
499,"SOAP DEALERS"
500,"OTHER DEALERS IN CHEMICALS ETC"
501,"FLOORCLOTH AND OILCLOTH DEALERS"
502,"INDIA RUBBER AND GUTTA PERCHA DEALERS"
503,"WATERPROOF GOODS DEALERS"
504,"SHELLAC DEALERS"
505,"SKINNERS FURRIERS"
506,"TANNERS FELLMONGERS"
507,"CURRIERS"
508,"LEATHER GOODS MANUFACTURE (BELTS ETC)"
509,"PARCHMENT, VELLUM - MAKER"
510,"SADDLE HARNESS AND WHIP MAKERS"
511,"HAIR AND BRISTLE WORKERS"
512,"BRUSH AND BROOM MAKERS"
513,"HAIR PLUME MAKERS"
514,"QUILL AND FEATHERS DRESSERS"
515,"DEALERS IN SKINS"
516,"DEALERS IN LEATHER"
517,"QUILL AND FEATHERS DEALERS"
518,"HAIR AND BRISTLE DEALERS"
519,"PAPER MANUFACTURE"
520,"PAPER STAINER"
521,"PENCIL MAKERS"
522,"CARD, STATIONERY MAKERS"
523,"VALENTINE MAKER"
524,"ENVELOPE MANUFACTURE"
525,"PAPER BAG MAKERS"
526,"CARDBOARD BOX MAKER"
527,"TICKET WRITERS"
528,"OTHER PAPER WORKERS"
529,"STATIONERS (ALL ASSUMED RETAIL/LAW STATIONERS)"
530,"PAPER DEALERS"
531,"HAND COMPOSITORS (DEFAULT)"
532,"MACHINE COMPOSITORS"
533,"PRINTING MACHINE MINDERS"
534,"STEREOTYPERS, ELECTROTYPERS"
535,"MUSIC PRINTERS"
536,"PRINTERS SO DESCRIBED"
537,"OTHERS IN PRINTING"
538,"PAPER RULER"
539,"LITHOGRAPHERS"
540,"COPPER PLATE PRINTERS"
541,"MAP MAKERS"
542,"BOOKBINDERS"
